,day_date,close_value,comment_num
0,2019-01-01,1044.96,11
1,2019-01-02,1054.68,88
2,2019-01-03,1025.47,59
3,2019-01-04,1078.07,44
4,2019-01-05,1078.07,16
5,2019-01-06,1078.07,41
6,2019-01-07,1075.92,84
7,2019-01-08,1085.37,85
8,2019-01-09,1081.65,43
9,2019-01-10,1078.83,35
10,2019-01-11,1064.47,76
11,2019-01-12,1064.47,44
12,2019-01-13,1064.47,18
13,2019-01-14,1051.51,22
14,2019-01-15,1086.51,27
15,2019-01-16,1089.51,73
16,2019-01-17,1099.12,45
17,2019-01-18,1107.3,55
18,2019-01-19,1107.3,61
19,2019-01-20,1107.3,8
20,2019-01-21,1107.3,20
21,2019-01-22,1078.63,19
22,2019-01-23,1084.41,29
23,2019-01-24,1084.0,38
24,2019-01-25,1101.51,25
25,2019-01-26,1101.51,11
26,2019-01-27,1101.51,17
27,2019-01-28,1079.86,24
28,2019-01-29,1070.06,25
29,2019-01-30,1097.99,45
30,2019-01-31,1125.89,113
31,2019-02-01,1118.62,84
32,2019-02-02,1118.62,87
33,2019-02-03,1118.62,42
34,2019-02-04,1141.42,586
35,2019-02-05,1151.87,211
36,2019-02-06,1122.89,89
37,2019-02-07,1105.91,81
38,2019-02-08,1102.38,49
39,2019-02-09,1102.38,15
40,2019-02-10,1102.38,21
41,2019-02-11,1102.12,15
42,2019-02-12,1127.58,35
43,2019-02-13,1128.63,56
44,2019-02-14,1129.2,22
45,2019-02-15,1119.63,55
46,2019-02-16,1119.63,34
47,2019-02-17,1119.63,15
48,2019-02-18,1119.63,7
49,2019-02-19,1126.51,18
50,2019-02-20,1120.59,57
51,2019-02-21,1104.21,42
52,2019-02-22,1116.56,18
53,2019-02-23,1116.56,10
54,2019-02-24,1116.56,78
55,2019-02-25,1117.33,22
56,2019-02-26,1122.01,25
57,2019-02-27,1122.89,51
58,2019-02-28,1126.55,47
59,2019-03-01,1148.52,82
60,2019-03-02,1148.52,61
61,2019-03-03,1148.52,18
62,2019-03-04,1153.42,78
63,2019-03-05,1169.19,78
64,2019-03-06,1164.94,60
65,2019-03-07,1150.85,29
66,2019-03-08,1149.97,72
67,2019-03-09,1149.97,32
68,2019-03-10,1149.97,13
69,2019-03-11,1179.26,63
70,2019-03-12,1197.25,125
71,2019-03-13,1199.06,38
72,2019-03-14,1192.53,33
73,2019-03-15,1190.3,95
74,2019-03-16,1190.3,34
75,2019-03-17,1190.3,7
76,2019-03-18,1188.55,40
77,2019-03-19,1202.46,66
78,2019-03-20,1226.43,101
79,2019-03-21,1236.13,97
80,2019-03-22,1207.65,114
81,2019-03-23,1207.65,33
82,2019-03-24,1207.65,11
83,2019-03-25,1197.38,29
84,2019-03-26,1189.84,29
85,2019-03-27,1178.01,43
86,2019-03-28,1172.27,91
87,2019-03-29,1176.89,37
88,2019-03-30,1176.89,17
89,2019-03-31,1176.89,39
90,2019-04-01,1198.98,20
91,2019-04-02,1205.54,36
92,2019-04-03,1210.81,44
93,2019-04-04,1219.45,17
94,2019-04-05,1211.45,24
95,2019-04-06,1211.45,13
96,2019-04-07,1211.45,12
97,2019-04-08,1208.28,29
98,2019-04-09,1202.69,37
99,2019-04-10,1206.45,33
100,2019-04-11,1209.59,28
101,2019-04-12,1222.73,26
102,2019-04-13,1222.73,25
103,2019-04-14,1222.73,14
104,2019-04-15,1226.53,19
105,2019-04-16,1231.91,31
106,2019-04-17,1240.14,34
107,2019-04-18,1241.47,15
108,2019-04-19,1241.47,41
109,2019-04-20,1241.47,14
110,2019-04-21,1241.47,2
111,2019-04-22,1253.76,42
112,2019-04-23,1270.59,83
113,2019-04-24,1260.05,38
114,2019-04-25,1267.34,36
115,2019-04-26,1277.42,32
116,2019-04-27,1277.42,34
117,2019-04-28,1277.42,34
118,2019-04-29,1296.2,451
119,2019-04-30,1198.96,415
120,2019-05-01,1173.32,45
121,2019-05-02,1166.51,54
122,2019-05-03,1189.55,52
123,2019-05-04,1189.55,19
124,2019-05-05,1189.55,35
125,2019-05-06,1193.46,57
126,2019-05-07,1178.86,37
127,2019-05-08,1170.78,61
128,2019-05-09,1167.97,62
129,2019-05-10,1167.64,55
130,2019-05-11,1167.64,39
131,2019-05-12,1167.64,33
